Pi_Time,MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPellet_Retrieval_Time,Poke_Time
2021-08-10T22:20:03.027572,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.66,1,1,Left,Left,64,0,0,0,nan,nan,0.55
2021-08-10T22:20:03.380311,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,65,0,0,0,nan,nan,1.66
2021-08-10T22:20:03.709114,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,66,0,0,0,nan,nan,0.57
2021-08-10T22:20:04.064664,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,67,0,0,0,nan,nan,0.77
2021-08-10T22:20:04.378576,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,68,0,0,0,nan,nan,1.54
2021-08-10T22:20:04.733487,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,69,0,0,0,nan,nan,0.83
2021-08-10T22:20:05.108957,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,70,0,0,0,nan,nan,0.05
2021-08-10T22:20:05.419735,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,71,0,0,0,nan,nan,1.51
2021-08-10T22:20:05.767646,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,72,0,0,0,nan,nan,0.14
2021-08-10T22:20:06.122262,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,73,0,0,0,nan,nan,0.73
2021-08-10T22:20:06.456975,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,74,0,0,0,nan,nan,0.49
2021-08-10T22:20:06.787925,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,75,0,0,0,nan,nan,0.81
2021-08-10T22:20:07.126678,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,76,0,0,0,nan,nan,1.64
2021-08-10T22:20:07.491233,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,77,0,0,0,nan,nan,1.36
2021-08-10T22:20:07.843986,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.65,1,1,Left,Left,78,0,0,0,nan,nan,1.52
2021-08-10T22:20:08.172117,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,79,0,0,0,nan,nan,1.57
2021-08-10T22:20:08.497790,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,80,0,0,0,nan,nan,0.87
2021-08-10T22:20:08.879557,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,81,0,0,0,nan,nan,0.28
2021-08-10T22:20:09.215330,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,82,0,0,0,nan,nan,0.42
2021-08-10T22:20:09.564120,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,83,0,0,0,nan,nan,1.90
2021-08-10T22:20:09.939754,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,84,0,0,0,nan,nan,1.21
2021-08-10T22:20:10.285500,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,85,0,0,0,nan,nan,0.50
2021-08-10T22:20:10.652546,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,86,0,0,0,nan,nan,0.99
2021-08-10T22:20:11.001071,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,87,0,0,0,nan,nan,0.71
2021-08-10T22:20:11.335848,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,88,0,0,0,nan,nan,0.12
2021-08-10T22:20:11.701782,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,89,0,0,0,nan,nan,0.91
2021-08-10T22:20:12.063573,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,90,0,0,0,nan,nan,1.37
2021-08-10T22:20:12.441237,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,91,0,0,0,nan,nan,0.17
2021-08-10T22:20:12.802971,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,92,0,0,0,nan,nan,1.48
2021-08-10T22:20:13.172017,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,93,0,0,0,nan,nan,0.41
2021-08-10T22:20:13.531608,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,94,0,0,0,nan,nan,1.60
2021-08-10T22:20:13.912469,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.64,1,1,Left,Left,95,0,0,0,nan,nan,1.81
2021-08-10T22:20:14.264417,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.63,1,1,Left,Left,96,0,0,0,nan,nan,1.32
2021-08-10T22:20:14.642233,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.63,1,1,Left,Left,97,0,0,0,nan,nan,1.49
2021-08-10T22:20:15.015824,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.63,1,1,Left,Left,98,0,0,0,nan,nan,0.77
2021-08-10T22:20:15.403849,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.63,1,1,Left,Left,99,0,0,0,nan,nan,1.60
2021-08-10T22:20:15.812868,08/10/2021 22:00:00,1.8.1,Free Feeding,17,3.63,1,1,Left,Left,100,0,0,0,nan,nan,1.54
